ID,role_ID,permission_ID
bb0e8400-e29b-41d4-a716-446655440026,990e8400-e29b-41d4-a716-446655440017,aa0e8400-e29b-41d4-a716-446655440027
bb0e8400-e29b-41d4-a716-446655440027,990e8400-e29b-41d4-a716-446655440018,aa0e8400-e29b-41d4-a716-446655440028
bb0e8400-e29b-41d4-a716-446655440028,990e8400-e29b-41d4-a716-446655440018,aa0e8400-e29b-41d4-a716-446655440029
bb0e8400-e29b-41d4-a716-446655440029,990e8400-e29b-41d4-a716-446655440019,aa0e8400-e29b-41d4-a716-446655440030
bb0e8400-e29b-41d4-a716-446655440030,990e8400-e29b-41d4-a716-446655440020,aa0e8400-e29b-41d4-a716-446655440031
bb0e8400-e29b-41d4-a716-446655440031,990e8400-e29b-41d4-a716-446655440021,aa0e8400-e29b-41d4-a716-446655440040
bb0e8400-e29b-41d4-a716-446655440032,990e8400-e29b-41d4-a716-446655440022,aa0e8400-e29b-41d4-a716-446655440041
bb0e8400-e29b-41d4-a716-446655440033,990e8400-e29b-41d4-a716-446655440023,aa0e8400-e29b-41d4-a716-446655440042
bb0e8400-e29b-41d4-a716-446655440034,990e8400-e29b-41d4-a716-446655440024,aa0e8400-e29b-41d4-a716-446655440043
bb0e8400-e29b-41d4-a716-446655440035,990e8400-e29b-41d4-a716-446655440025,aa0e8400-e29b-41d4-a716-446655440044
bb0e8400-e29b-41d4-a716-446655440036,990e8400-e29b-41d4-a716-446655440026,aa0e8400-e29b-41d4-a716-446655440045
bb0e8400-e29b-41d4-a716-446655440037,990e8400-e29b-41d4-a716-446655440027,aa0e8400-e29b-41d4-a716-446655440046
bb0e8400-e29b-41d4-a716-446655440038,990e8400-e29b-41d4-a716-446655440028,aa0e8400-e29b-41d4-a716-446655440047
bb0e8400-e29b-41d4-a716-446655440039,990e8400-e29b-41d4-a716-446655440029,aa0e8400-e29b-41d4-a716-446655440048
bb0e8400-e29b-41d4-a716-446655440040,990e8400-e29b-41d4-a716-446655440030,aa0e8400-e29b-41d4-a716-446655440049
bb0e8400-e29b-41d4-a716-446655440041,990e8400-e29b-41d4-a716-446655440031,aa0e8400-e29b-41d4-a716-446655440001
bb0e8400-e29b-41d4-a716-446655440042,990e8400-e29b-41d4-a716-446655440032,aa0e8400-e29b-41d4-a716-446655440002
bb0e8400-e29b-41d4-a716-446655440043,990e8400-e29b-41d4-a716-446655440033,aa0e8400-e29b-41d4-a716-446655440003
bb0e8400-e29b-41d4-a716-446655440044,990e8400-e29b-41d4-a716-446655440034,aa0e8400-e29b-41d4-a716-446655440004
bb0e8400-e29b-41d4-a716-446655440045,990e8400-e29b-41d4-a716-446655440035,aa0e8400-e29b-41d4-a716-446655440005
bb0e8400-e29b-41d4-a716-446655440046,990e8400-e29b-41d4-a716-446655440036,aa0e8400-e29b-41d4-a716-446655440006
bb0e8400-e29b-41d4-a716-446655440047,990e8400-e29b-41d4-a716-446655440037,aa0e8400-e29b-41d4-a716-446655440007
bb0e8400-e29b-41d4-a716-446655440048,990e8400-e29b-41d4-a716-446655440038,aa0e8400-e29b-41d4-a716-446655440008
bb0e8400-e29b-41d4-a716-446655440049,990e8400-e29b-41d4-a716-446655440039,aa0e8400-e29b-41d4-a716-446655440009
bb0e8400-e29b-41d4-a716-446655440050,990e8400-e29b-41d4-a716-446655440040,aa0e8400-e29b-41d4-a716-446655440010
