ID,referenceID,approver_ID,status_code,comment,createdAt,createdBy,modifiedAt,modifiedBy
ee0e8400-e29b-41d4-a716-446655440014,REF014,880e8400-e29b-41d4-a716-446655440014,APPROVED,Approved by manager,2024-01-06T08:13:00Z,system,2024-01-06T08:13:00Z,system
ee0e8400-e29b-41d4-a716-446655440015,REF015,880e8400-e29b-41d4-a716-446655440015,REJECTED,Invalid request,2024-01-06T08:14:00Z,system,2024-01-06T08:14:00Z,system
ee0e8400-e29b-41d4-a716-446655440016,REF016,880e8400-e29b-41d4-a716-446655440016,PENDING,Under review,2024-01-06T08:15:00Z,system,2024-01-06T08:15:00Z,system
ee0e8400-e29b-41d4-a716-446655440017,REF017,880e8400-e29b-41d4-a716-446655440017,APPROVED,Approved by finance,2024-01-06T08:16:00Z,system,2024-01-06T08:16:00Z,system
ee0e8400-e29b-41d4-a716-446655440018,REF018,880e8400-e29b-41d4-a716-446655440018,REJECTED,Exceeded limits,2024-01-06T08:17:00Z,system,2024-01-06T08:17:00Z,system
ee0e8400-e29b-41d4-a716-446655440019,REF019,880e8400-e29b-41d4-a716-446655440019,PENDING,Pending director approval,2024-01-06T08:18:00Z,system,2024-01-06T08:18:00Z,system
ee0e8400-e29b-41d4-a716-446655440020,REF020,880e8400-e29b-41d4-a716-446655440020,APPROVED,Approved without remarks,2024-01-06T08:19:00Z,system,2024-01-06T08:19:00Z,system
ee0e8400-e29b-41d4-a716-446655440021,REF021,880e8400-e29b-41d4-a716-446655440021,REJECTED,Insufficient details,2024-01-06T08:20:00Z,system,2024-01-06T08:20:00Z,system
ee0e8400-e29b-41d4-a716-446655440022,REF022,880e8400-e29b-41d4-a716-446655440022,PENDING,Waiting for confirmation,2024-01-06T08:21:00Z,system,2024-01-06T08:21:00Z,system
ee0e8400-e29b-41d4-a716-446655440023,REF023,880e8400-e29b-41d4-a716-446655440023,APPROVED,Approved by system,2024-01-06T08:22:00Z,system,2024-01-06T08:22:00Z,system
ee0e8400-e29b-41d4-a716-446655440024,REF024,880e8400-e29b-41d4-a716-446655440024,REJECTED,Not applicable,2024-01-06T08:23:00Z,system,2024-01-06T08:23:00Z,system
ee0e8400-e29b-41d4-a716-446655440025,REF025,880e8400-e29b-41d4-a716-446655440025,PENDING,Pending verification,2024-01-06T08:24:00Z,system,2024-01-06T08:24:00Z,system
ee0e8400-e29b-41d4-a716-446655440026,REF026,880e8400-e29b-41d4-a716-446655440026,APPROVED,Verified and approved,2024-01-06T08:25:00Z,system,2024-01-06T08:25:00Z,system
ee0e8400-e29b-41d4-a716-446655440027,REF027,880e8400-e29b-41d4-a716-446655440027,REJECTED,Duplicate request,2024-01-06T08:26:00Z,system,2024-01-06T08:26:00Z,system
ee0e8400-e29b-41d4-a716-446655440028,REF028,880e8400-e29b-41d4-a716-446655440028,PENDING,Pending review cycle,2024-01-06T08:27:00Z,system,2024-01-06T08:27:00Z,system
ee0e8400-e29b-41d4-a716-446655440029,REF029,880e8400-e29b-41d4-a716-446655440029,APPROVED,Approved after review,2024-01-06T08:28:00Z,system,2024-01-06T08:28:00Z,system
ee0e8400-e29b-41d4-a716-446655440030,REF030,880e8400-e29b-41d4-a716-446655440030,REJECTED,Rejected by system rules,2024-01-06T08:29:00Z,system,2024-01-06T08:29:00Z,system
ee0e8400-e29b-41d4-a716-446655440031,REF031,880e8400-e29b-41d4-a716-446655440031,PENDING,Awaiting approval cycle,2024-01-06T08:30:00Z,system,2024-01-06T08:30:00Z,system
ee0e8400-e29b-41d4-a716-446655440032,REF032,880e8400-e29b-41d4-a716-446655440032,APPROVED,Approved by lead,2024-01-06T08:31:00Z,system,2024-01-06T08:31:00Z,system
ee0e8400-e29b-41d4-a716-446655440033,REF033,880e8400-e29b-41d4-a716-446655440033,REJECTED,Rejected after review,2024-01-06T08:32:00Z,system,2024-01-06T08:32:00Z,system
ee0e8400-e29b-41d4-a716-446655440034,REF034,880e8400-e29b-41d4-a716-446655440034,PENDING,Waiting for approval chain,2024-01-06T08:33:00Z,system,2024-01-06T08:33:00Z,system
ee0e8400-e29b-41d4-a716-446655440035,REF035,880e8400-e29b-41d4-a716-446655440035,APPROVED,Approved with remarks,2024-01-06T08:34:00Z,system,2024-01-06T08:34:00Z,system
ee0e8400-e29b-41d4-a716-446655440036,REF036,880e8400-e29b-41d4-a716-446655440036,REJECTED,Incomplete submission,2024-01-06T08:35:00Z,system,2024-01-06T08:35:00Z,system
ee0e8400-e29b-41d4-a716-446655440037,REF037,880e8400-e29b-41d4-a716-446655440037,PENDING,Approval in progress,2024-01-06T08:36:00Z,system,2024-01-06T08:36:00Z,system
ee0e8400-e29b-41d4-a716-446655440038,REF038,880e8400-e29b-41d4-a716-446655440038,APPROVED,Approved by supervisor,2024-01-06T08:37:00Z,system,2024-01-06T08:37:00Z,system
ee0e8400-e29b-41d4-a716-446655440039,REF039,880e8400-e29b-41d4-a716-446655440039,REJECTED,Request expired,2024-01-06T08:38:00Z,system,2024-01-06T08:38:00Z,system
ee0e8400-e29b-41d4-a716-446655440040,REF040,880e8400-e29b-41d4-a716-446655440040,PENDING,Pending system validation,2024-01-06T08:39:00Z,system,2024-01-06T08:39:00Z,system
ee0e8400-e29b-41d4-a716-446655440041,REF041,880e8400-e29b-41d4-a716-446655440041,APPROVED,Approved automatically,2024-01-06T08:40:00Z,system,2024-01-06T08:40:00Z,system
ee0e8400-e29b-41d4-a716-446655440042,REF042,880e8400-e29b-41d4-a716-446655440042,REJECTED,Rejected by compliance,2024-01-06T08:41:00Z,system,2024-01-06T08:41:00Z,system
ee0e8400-e29b-41d4-a716-446655440043,REF043,880e8400-e29b-41d4-a716-446655440043,PENDING,Pending compliance review,2024-01-06T08:42:00Z,system,2024-01-06T08:42:00Z,system
ee0e8400-e29b-41d4-a716-446655440044,REF044,880e8400-e29b-41d4-a716-446655440044,APPROVED,Approved after compliance,2024-01-06T08:43:00Z,system,2024-01-06T08:43:00Z,system
ee0e8400-e29b-41d4-a716-446655440045,REF045,880e8400-e29b-41d4-a716-446655440045,REJECTED,Rejected by auditor,2024-01-06T08:44:00Z,system,2024-01-06T08:44:00Z,system
ee0e8400-e29b-41d4-a716-446655440046,REF046,880e8400-e29b-41d4-a716-446655440046,PENDING,Awaiting audit approval,2024-01-06T08:45:00Z,system,2024-01-06T08:45:00Z,system
ee0e8400-e29b-41d4-a716-446655440047,REF047,880e8400-e29b-41d4-a716-446655440047,APPROVED,Approved post audit,2024-01-06T08:46:00Z,system,2024-01-06T08:46:00Z,system
ee0e8400-e29b-41d4-a716-446655440048,REF048,880e8400-e29b-41d4-a716-446655440048,REJECTED,Audit failed,2024-01-06T08:47:00Z,system,2024-01-06T08:47:00Z,system
ee0e8400-e29b-41d4-a716-446655440049,REF049,880e8400-e29b-41d4-a716-446655440049,PENDING,Pending final approval,2024-01-06T08:48:00Z,system,2024-01-06T08:48:00Z,system
ee0e8400-e29b-41d4-a716-446655440050,REF050,880e8400-e29b-41d4-a716-446655440050,APPROVED,Fully approved,2024-01-06T08:49:00Z,system,2024-01-06T08:49:00Z,system
