ID,title,level_code,createdAt,createdBy,modifiedAt,modifiedBy
770e8400-e29b-41d4-a716-446655440035,IT Manager,MANAGER,2024-01-03T08:34:00Z,system,2024-01-07T08:34:00Z,system
770e8400-e29b-41d4-a716-446655440036,Director of IT,DIRECTOR,2024-01-03T08:35:00Z,system,2024-01-07T08:35:00Z,system
770e8400-e29b-41d4-a716-446655440037,Operations Intern,INTERN,2024-01-03T08:36:00Z,system,2024-01-07T08:36:00Z,system
770e8400-e29b-41d4-a716-446655440038,Junior Operations Executive,JUNIOR,2024-01-03T08:37:00Z,system,2024-01-07T08:37:00Z,system
770e8400-e29b-41d4-a716-446655440039,Senior Operations Executive,SENIOR,2024-01-03T08:38:00Z,system,2024-01-07T08:38:00Z,system
770e8400-e29b-41d4-a716-446655440040,Operations Team Lead,TEAMLEAD,2024-01-03T08:39:00Z,system,2024-01-07T08:39:00Z,system
770e8400-e29b-41d4-a716-446655440041,Operations Manager,MANAGER,2024-01-03T08:40:00Z,system,2024-01-07T08:40:00Z,system
770e8400-e29b-41d4-a716-446655440042,Director of Operations,DIRECTOR,2024-01-03T08:41:00Z,system,2024-01-07T08:41:00Z,system
770e8400-e29b-41d4-a716-446655440043,Product Intern,INTERN,2024-01-03T08:42:00Z,system,2024-01-07T08:42:00Z,system
770e8400-e29b-41d4-a716-446655440044,Junior Product Manager,JUNIOR,2024-01-03T08:43:00Z,system,2024-01-07T08:43:00Z,system
770e8400-e29b-41d4-a716-446655440045,Senior Product Manager,SENIOR,2024-01-03T08:44:00Z,system,2024-01-07T08:44:00Z,system
770e8400-e29b-41d4-a716-446655440046,Product Team Lead,TEAMLEAD,2024-01-03T08:45:00Z,system,2024-01-07T08:45:00Z,system
770e8400-e29b-41d4-a716-446655440047,Product Manager,MANAGER,2024-01-03T08:46:00Z,system,2024-01-07T08:46:00Z,system
770e8400-e29b-41d4-a716-446655440048,Director of Product,DIRECTOR,2024-01-03T08:47:00Z,system,2024-01-07T08:47:00Z,system
770e8400-e29b-41d4-a716-446655440049,Chief Operating Officer,C-SUITE,2024-01-03T08:48:00Z,system,2024-01-07T08:48:00Z,system
770e8400-e29b-41d4-a716-446655440050,Chief Executive Officer,C-SUITE,2024-01-03T08:49:00Z,system,2024-01-07T08:49:00Z,system
