ID,fileName,fileType,filesize,uploadedBy_ID,createdAt,createdBy,modifiedAt,modifiedBy
ab0e8400-e29b-41d4-a716-446655440019,profile_pic_user19.jpg,image/jpeg,100352,880e8400-e29b-41d4-a716-446655440019,2024-01-08T08:18:00Z,system,2024-01-08T08:18:00Z,system
ab0e8400-e29b-41d4-a716-446655440020,resume_user20.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,546816,880e8400-e29b-41d4-a716-446655440020,2024-01-08T08:19:00Z,system,2024-01-08T08:19:00Z,system
ab0e8400-e29b-41d4-a716-446655440021,offer_letter_user21.pdf,application/pdf,253952,880e8400-e29b-41d4-a716-446655440021,2024-01-08T08:20:00Z,system,2024-01-08T08:20:00Z,system
ab0e8400-e29b-41d4-a716-446655440022,profile_pic_user22.jpg,image/jpeg,114688,880e8400-e29b-41d4-a716-446655440022,2024-01-08T08:21:00Z,system,2024-01-08T08:21:00Z,system
ab0e8400-e29b-41d4-a716-446655440023,resume_user23.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,518144,880e8400-e29b-41d4-a716-446655440023,2024-01-08T08:22:00Z,system,2024-01-08T08:22:00Z,system
ab0e8400-e29b-41d4-a716-446655440024,invoice_user24.pdf,application/pdf,372736,880e8400-e29b-41d4-a716-446655440024,2024-01-08T08:23:00Z,system,2024-01-08T08:23:00Z,system
ab0e8400-e29b-41d4-a716-446655440025,id_proof_user25.png,image/png,221184,880e8400-e29b-41d4-a716-446655440025,2024-01-08T08:24:00Z,system,2024-01-08T08:24:00Z,system
ab0e8400-e29b-41d4-a716-446655440026,contract_user26.pdf,application/pdf,485376,880e8400-e29b-41d4-a716-446655440026,2024-01-08T08:25:00Z,system,2024-01-08T08:25:00Z,system
ab0e8400-e29b-41d4-a716-446655440027,training_material_user27.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,819200,880e8400-e29b-41d4-a716-446655440027,2024-01-08T08:26:00Z,system,2024-01-08T08:26:00Z,system
ab0e8400-e29b-41d4-a716-446655440028,tax_form_user28.pdf,application/pdf,413696,880e8400-e29b-41d4-a716-446655440028,2024-01-08T08:27:00Z,system,2024-01-08T08:27:00Z,system
ab0e8400-e29b-41d4-a716-446655440029,profile_pic_user29.jpg,image/jpeg,104448,880e8400-e29b-41d4-a716-446655440029,2024-01-08T08:28:00Z,system,2024-01-08T08:28:00Z,system
ab0e8400-e29b-41d4-a716-446655440030,resume_user30.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,559104,880e8400-e29b-41d4-a716-446655440030,2024-01-08T08:29:00Z,system,2024-01-08T08:29:00Z,system
ab0e8400-e29b-41d4-a716-446655440031,offer_letter_user31.pdf,application/pdf,260096,880e8400-e29b-41d4-a716-446655440031,2024-01-08T08:30:00Z,system,2024-01-08T08:30:00Z,system
ab0e8400-e29b-41d4-a716-446655440032,profile_pic_user32.jpg,image/jpeg,118784,880e8400-e29b-41d4-a716-446655440032,2024-01-08T08:31:00Z,system,2024-01-08T08:31:00Z,system
ab0e8400-e29b-41d4-a716-446655440033,resume_user33.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,534528,880e8400-e29b-41d4-a716-446655440033,2024-01-08T08:32:00Z,system,2024-01-08T08:32:00Z,system
ab0e8400-e29b-41d4-a716-446655440034,invoice_user34.pdf,application/pdf,381952,880e8400-e29b-41d4-a716-446655440034,2024-01-08T08:33:00Z,system,2024-01-08T08:33:00Z,system
ab0e8400-e29b-41d4-a716-446655440035,id_proof_user35.png,image/png,229376,880e8400-e29b-41d4-a716-446655440035,2024-01-08T08:34:00Z,system,2024-01-08T08:34:00Z,system
ab0e8400-e29b-41d4-a716-446655440036,contract_user36.pdf,application/pdf,499712,880e8400-e29b-41d4-a716-446655440036,2024-01-08T08:35:00Z,system,2024-01-08T08:35:00Z,system
ab0e8400-e29b-41d4-a716-446655440037,training_material_user37.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,835584,880e8400-e29b-41d4-a716-446655440037,2024-01-08T08:36:00Z,system,2024-01-08T08:36:00Z,system
ab0e8400-e29b-41d4-a716-446655440038,tax_form_user38.pdf,application/pdf,425984,880e8400-e29b-41d4-a716-446655440038,2024-01-08T08:37:00Z,system,2024-01-08T08:37:00Z,system
ab0e8400-e29b-41d4-a716-446655440039,profile_pic_user39.jpg,image/jpeg,108544,880e8400-e29b-41d4-a716-446655440039,2024-01-08T08:38:00Z,system,2024-01-08T08:38:00Z,system
ab0e8400-e29b-41d4-a716-446655440040,resume_user40.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,571392,880e8400-e29b-41d4-a716-446655440040,2024-01-08T08:39:00Z,system,2024-01-08T08:39:00Z,system
ab0e8400-e29b-41d4-a716-446655440041,offer_letter_user41.pdf,application/pdf,266240,880e8400-e29b-41d4-a716-446655440041,2024-01-08T08:40:00Z,system,2024-01-08T08:40:00Z,system
ab0e8400-e29b-41d4-a716-446655440042,profile_pic_user42.jpg,image/jpeg,122880,880e8400-e29b-41d4-a716-446655440042,2024-01-08T08:41:00Z,system,2024-01-08T08:41:00Z,system
ab0e8400-e29b-41d4-a716-446655440043,resume_user43.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,546816,880e8400-e29b-41d4-a716-446655440043,2024-01-08T08:42:00Z,system,2024-01-08T08:42:00Z,system
ab0e8400-e29b-41d4-a716-446655440044,invoice_user44.pdf,application/pdf,391168,880e8400-e29b-41d4-a716-446655440044,2024-01-08T08:43:00Z,system,2024-01-08T08:43:00Z,system
ab0e8400-e29b-41d4-a716-446655440045,id_proof_user45.png,image/png,237568,880e8400-e29b-41d4-a716-446655440045,2024-01-08T08:44:00Z,system,2024-01-08T08:44:00Z,system
ab0e8400-e29b-41d4-a716-446655440046,contract_user46.pdf,application/pdf,514048,880e8400-e29b-41d4-a716-446655440046,2024-01-08T08:45:00Z,system,2024-01-08T08:45:00Z,system
ab0e8400-e29b-41d4-a716-446655440047,training_material_user47.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,851968,880e8400-e29b-41d4-a716-446655440047,2024-01-08T08:46:00Z,system,2024-01-08T08:46:00Z,system
ab0e8400-e29b-41d4-a716-446655440048,tax_form_user48.pdf,application/pdf,438272,880e8400-e29b-41d4-a716-446655440048,2024-01-08T08:47:00Z,system,2024-01-08T08:47:00Z,system
ab0e8400-e29b-41d4-a716-446655440049,profile_pic_user49.jpg,image/jpeg,112640,880e8400-e29b-41d4-a716-446655440049,2024-01-08T08:48:00Z,system,2024-01-08T08:48:00Z,system
ab0e8400-e29b-41d4-a716-446655440050,resume_user50.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,583680,880e8400-e29b-41d4-a716-446655440050,2024-01-08T08:49:00Z,system,2024-01-08T08:49:00Z,system
