ID,code,name,domain,active,createdAt,createdBy,modifiedAt,modifiedBy
550e8400-e29b-41d4-a716-446655440023,C023,Company 23,company23.com,true,2024-01-01T08:22:00Z,system,2024-01-05T08:22:00Z,system
550e8400-e29b-41d4-a716-446655440024,C024,Company 24,company24.com,true,2024-01-01T08:23:00Z,system,2024-01-05T08:23:00Z,system
550e8400-e29b-41d4-a716-446655440025,C025,Company 25,company25.com,true,2024-01-01T08:24:00Z,system,2024-01-05T08:24:00Z,system
550e8400-e29b-41d4-a716-446655440026,C026,Company 26,company26.com,true,2024-01-01T08:25:00Z,system,2024-01-05T08:25:00Z,system
550e8400-e29b-41d4-a716-446655440027,C027,Company 27,company27.com,true,2024-01-01T08:26:00Z,system,2024-01-05T08:26:00Z,system
550e8400-e29b-41d4-a716-446655440028,C028,Company 28,company28.com,true,2024-01-01T08:27:00Z,system,2024-01-05T08:27:00Z,system
550e8400-e29b-41d4-a716-446655440029,C029,Company 29,company29.com,true,2024-01-01T08:28:00Z,system,2024-01-05T08:28:00Z,system
550e8400-e29b-41d4-a716-446655440030,C030,Company 30,company30.com,true,2024-01-01T08:29:00Z,system,2024-01-05T08:29:00Z,system
550e8400-e29b-41d4-a716-446655440031,C031,Company 31,company31.com,true,2024-01-01T08:30:00Z,system,2024-01-05T08:30:00Z,system
550e8400-e29b-41d4-a716-446655440032,C032,Company 32,company32.com,true,2024-01-01T08:31:00Z,system,2024-01-05T08:31:00Z,system
550e8400-e29b-41d4-a716-446655440033,C033,Company 33,company33.com,true,2024-01-01T08:32:00Z,system,2024-01-05T08:32:00Z,system
550e8400-e29b-41d4-a716-446655440034,C034,Company 34,company34.com,true,2024-01-01T08:33:00Z,system,2024-01-05T08:33:00Z,system
550e8400-e29b-41d4-a716-446655440035,C035,Company 35,company35.com,true,2024-01-01T08:34:00Z,system,2024-01-05T08:34:00Z,system
550e8400-e29b-41d4-a716-446655440036,C036,Company 36,company36.com,true,2024-01-01T08:35:00Z,system,2024-01-05T08:35:00Z,system
550e8400-e29b-41d4-a716-446655440037,C037,Company 37,company37.com,true,2024-01-01T08:36:00Z,system,2024-01-05T08:36:00Z,system
550e8400-e29b-41d4-a716-446655440038,C038,Company 38,company38.com,true,2024-01-01T08:37:00Z,system,2024-01-05T08:37:00Z,system
550e8400-e29b-41d4-a716-446655440039,C039,Company 39,company39.com,true,2024-01-01T08:38:00Z,system,2024-01-05T08:38:00Z,system
550e8400-e29b-41d4-a716-446655440040,C040,Company 40,company40.com,true,2024-01-01T08:39:00Z,system,2024-01-05T08:39:00Z,system
550e8400-e29b-41d4-a716-446655440041,C041,Company 41,company41.com,true,2024-01-01T08:40:00Z,system,2024-01-05T08:40:00Z,system
550e8400-e29b-41d4-a716-446655440042,C042,Company 42,company42.com,true,2024-01-01T08:41:00Z,system,2024-01-05T08:41:00Z,system
550e8400-e29b-41d4-a716-446655440043,C043,Company 43,company43.com,true,2024-01-01T08:42:00Z,system,2024-01-05T08:42:00Z,system
550e8400-e29b-41d4-a716-446655440044,C044,Company 44,company44.com,true,2024-01-01T08:43:00Z,system,2024-01-05T08:43:00Z,system
550e8400-e29b-41d4-a716-446655440045,C045,Company 45,company45.com,true,2024-01-01T08:44:00Z,system,2024-01-05T08:44:00Z,system
550e8400-e29b-41d4-a716-446655440046,C046,Company 46,company46.com,true,2024-01-01T08:45:00Z,system,2024-01-05T08:45:00Z,system
550e8400-e29b-41d4-a716-446655440047,C047,Company 47,company47.com,true,2024-01-01T08:46:00Z,system,2024-01-05T08:46:00Z,system
550e8400-e29b-41d4-a716-446655440048,C048,Company 48,company48.com,true,2024-01-01T08:47:00Z,system,2024-01-05T08:47:00Z,system
550e8400-e29b-41d4-a716-446655440049,C049,Company 49,company49.com,true,2024-01-01T08:48:00Z,system,2024-01-05T08:48:00Z,system
550e8400-e29b-41d4-a716-446655440050,C050,Company 50,company50.com,true,2024-01-01T08:49:00Z,system,2024-01-05T08:49:00Z,system
