ID,users_ID,title,message,read,createdAt,createdBy,modifiedAt,modifiedBy
ff0e8400-e29b-41d4-a716-446655440017,880e8400-e29b-41d4-a716-446655440017,Password Changed,Password updated,true,2024-01-07T08:16:00Z,system,2024-01-07T08:16:00Z,system
ff0e8400-e29b-41d4-a716-446655440018,880e8400-e29b-41d4-a716-446655440018,New Role Assigned,Additional role added,false,2024-01-07T08:17:00Z,system,2024-01-07T08:17:00Z,system
ff0e8400-e29b-41d4-a716-446655440019,880e8400-e29b-41d4-a716-446655440019,Access Granted,New permissions granted,true,2024-01-07T08:18:00Z,system,2024-01-07T08:18:00Z,system
ff0e8400-e29b-41d4-a716-446655440020,880e8400-e29b-41d4-a716-446655440020,Reminder,Action required,false,2024-01-07T08:19:00Z,system,2024-01-07T08:19:00Z,system
ff0e8400-e29b-41d4-a716-446655440021,880e8400-e29b-41d4-a716-446655440021,Welcome,Welcome to platform,false,2024-01-07T08:20:00Z,system,2024-01-07T08:20:00Z,system
ff0e8400-e29b-41d4-a716-446655440022,880e8400-e29b-41d4-a716-446655440022,Profile Updated,Profile saved,true,2024-01-07T08:21:00Z,system,2024-01-07T08:21:00Z,system
ff0e8400-e29b-41d4-a716-446655440023,880e8400-e29b-41d4-a716-446655440023,Approval Pending,Approval required,false,2024-01-07T08:22:00Z,system,2024-01-07T08:22:00Z,system
ff0e8400-e29b-41d4-a716-446655440024,880e8400-e29b-41d4-a716-446655440024,Approval Approved,Request approved,true,2024-01-07T08:23:00Z,system,2024-01-07T08:23:00Z,system
ff0e8400-e29b-41d4-a716-446655440025,880e8400-e29b-41d4-a716-446655440025,Approval Rejected,Request denied,false,2024-01-07T08:24:00Z,system,2024-01-07T08:24:00Z,system
ff0e8400-e29b-41d4-a716-446655440026,880e8400-e29b-41d4-a716-446655440026,System Alert,Security alert,false,2024-01-07T08:25:00Z,system,2024-01-07T08:25:00Z,system
ff0e8400-e29b-41d4-a716-446655440027,880e8400-e29b-41d4-a716-446655440027,Password Changed,Password reset,true,2024-01-07T08:26:00Z,system,2024-01-07T08:26:00Z,system
ff0e8400-e29b-41d4-a716-446655440028,880e8400-e29b-41d4-a716-446655440028,New Role Assigned,Role updated,false,2024-01-07T08:27:00Z,system,2024-01-07T08:27:00Z,system
ff0e8400-e29b-41d4-a716-446655440029,880e8400-e29b-41d4-a716-446655440029,Access Granted,Access enabled,true,2024-01-07T08:28:00Z,system,2024-01-07T08:28:00Z,system
ff0e8400-e29b-41d4-a716-446655440030,880e8400-e29b-41d4-a716-446655440030,Reminder,Follow up required,false,2024-01-07T08:29:00Z,system,2024-01-07T08:29:00Z,system
ff0e8400-e29b-41d4-a716-446655440031,880e8400-e29b-41d4-a716-446655440031,Welcome,Hello and welcome,false,2024-01-07T08:30:00Z,system,2024-01-07T08:30:00Z,system
ff0e8400-e29b-41d4-a716-446655440032,880e8400-e29b-41d4-a716-446655440032,Profile Updated,Details updated,true,2024-01-07T08:31:00Z,system,2024-01-07T08:31:00Z,system
ff0e8400-e29b-41d4-a716-446655440033,880e8400-e29b-41d4-a716-446655440033,Approval Pending,Awaiting action,false,2024-01-07T08:32:00Z,system,2024-01-07T08:32:00Z,system
ff0e8400-e29b-41d4-a716-446655440034,880e8400-e29b-41d4-a716-446655440034,Approval Approved,Approved,true,2024-01-07T08:33:00Z,system,2024-01-07T08:33:00Z,system
ff0e8400-e29b-41d4-a716-446655440035,880e8400-e29b-41d4-a716-446655440035,Approval Rejected,Rejected,false,2024-01-07T08:34:00Z,system,2024-01-07T08:34:00Z,system
ff0e8400-e29b-41d4-a716-446655440036,880e8400-e29b-41d4-a716-446655440036,System Notice,System update,false,2024-01-07T08:35:00Z,system,2024-01-07T08:35:00Z,system
ff0e8400-e29b-41d4-a716-446655440037,880e8400-e29b-41d4-a716-446655440037,Password Changed,Credentials updated,true,2024-01-07T08:36:00Z,system,2024-01-07T08:36:00Z,system
ff0e8400-e29b-41d4-a716-446655440038,880e8400-e29b-41d4-a716-446655440038,New Role Assigned,Role granted,false,2024-01-07T08:37:00Z,system,2024-01-07T08:37:00Z,system
ff0e8400-e29b-41d4-a716-446655440039,880e8400-e29b-41d4-a716-446655440039,Access Granted,Access restored,true,2024-01-07T08:38:00Z,system,2024-01-07T08:38:00Z,system
ff0e8400-e29b-41d4-a716-446655440040,880e8400-e29b-41d4-a716-446655440040,Reminder,Reminder notification,false,2024-01-07T08:39:00Z,system,2024-01-07T08:39:00Z,system
ff0e8400-e29b-41d4-a716-446655440041,880e8400-e29b-41d4-a716-446655440041,Welcome,Welcome message,false,2024-01-07T08:40:00Z,system,2024-01-07T08:40:00Z,system
ff0e8400-e29b-41d4-a716-446655440042,880e8400-e29b-41d4-a716-446655440042,Profile Updated,Updated profile,true,2024-01-07T08:41:00Z,system,2024-01-07T08:41:00Z,system
ff0e8400-e29b-41d4-a716-446655440043,880e8400-e29b-41d4-a716-446655440043,Approval Pending,Pending,false,2024-01-07T08:42:00Z,system,2024-01-07T08:42:00Z,system
ff0e8400-e29b-41d4-a716-446655440044,880e8400-e29b-41d4-a716-446655440044,Approval Approved,Approved,true,2024-01-07T08:43:00Z,system,2024-01-07T08:43:00Z,system
ff0e8400-e29b-41d4-a716-446655440045,880e8400-e29b-41d4-a716-446655440045,Approval Rejected,Rejected,false,2024-01-07T08:44:00Z,system,2024-01-07T08:44:00Z,system
ff0e8400-e29b-41d4-a716-446655440046,880e8400-e29b-41d4-a716-446655440046,System Alert,Alert,false,2024-01-07T08:45:00Z,system,2024-01-07T08:45:00Z,system
ff0e8400-e29b-41d4-a716-446655440047,880e8400-e29b-41d4-a716-446655440047,Password Changed,Password changed,true,2024-01-07T08:46:00Z,system,2024-01-07T08:46:00Z,system
ff0e8400-e29b-41d4-a716-446655440048,880e8400-e29b-41d4-a716-446655440048,New Role Assigned,Role assigned,false,2024-01-07T08:47:00Z,system,2024-01-07T08:47:00Z,system
ff0e8400-e29b-41d4-a716-446655440049,880e8400-e29b-41d4-a716-446655440049,Access Granted,Access allowed,true,2024-01-07T08:48:00Z,system,2024-01-07T08:48:00Z,system
ff0e8400-e29b-41d4-a716-446655440050,880e8400-e29b-41d4-a716-446655440050,Reminder,Final reminder,false,2024-01-07T08:49:00Z,system,2024-01-07T08:49:00Z,system
